Topic/Question,Answer,Category 1,Category 2,Age of Baby,Link 1,Link 2,Link 3,Link 4,Link 5
Is it common to have uneven milk supply?,"Yes, it’s normal to experience uneven breast milk supply! You may even notice one breast to be larger than the other. As long as it’s not causing you discomfort, there’s no need to worry. If you are experiencing discomfort, talk to your doctor or lactation consultant.",Breastfeeding,Feeding,0-3 months,,,,,
How do I breastfeed a tongue-tied baby?,"Many babies do fine with mild tongue-tie. Tongue-tie is when the band of tissue that connects the bottom of the tongue to the floor of the mouth is too short and tight, restricting the movement of your baby’s tongue. Try to check early to see if your baby has a tongue-tie. Talk to your doctor if you notice that your baby is tongue-tied.",Breastfeeding,Feeding,0-3 months,,,,,
What types of hunger cues should I watch out for to make sure I am feeding my baby appropriately?,"Hunger cues (when a baby is ready to eat) include putting hands to the mouth, sucking, rooting (turning their face towards anything that touches their mouth, and faces and opens their mouth) facial grimaces, and fussing – a cry is a late sign of hunger.

In the beginning, it can be very challenging to know the difference between hunger cues and other baby cues.  It will get easier to tell as the baby gets older.  One helpful way will also be to note the last time the baby ate",Feeding,Breastfeeding,0-3 months,Is Your Baby Hungry or Full: Responsive Feeding Explained (Healthy Children),,,,
How much and how often should my baby be eating? How do I know that my baby has gotten enough to eat?,"Newborns are usually hungry every 2-3 hours. If the baby is showing hunger cues and it has been 2-3 hours, chances are the baby is ready to eat. If the baby seems satisfied and unlatches, that is a good sign.

 A breastfed baby feeding at the breast is generally very good at regulating how much to eat. If a baby is getting expressed breastmilk or formula in the bottle in the first few months of life, babies take in anywhere from 20-30 ounces in a 24 hour day.
",Feeding,Breastfeeding,0-3 months,How Often and How Much Should Your Baby Eat (Healthy Children),,,,
When and how should I start weaning my baby from breast milk?,"The American Academy of Pediatrics recommends nursing for 12 months, exclusively for the first six. However, you should start to wean when you are comfortable doing so. One such time that might feel natural to wean is when your child initiates the process.",Feeding,Breastfeeding,0-3 months,Weaning Your Baby (Healthy Children),Weaning (Mayo Clinic),,,
Why does my baby spit up? And how much spit up is okay?,"All babies spit up!  Most of the time, this is totally normal.  As long as the baby is still gaining weight and not in distress while spitting up, this is totally fine. Ways to help babies until their muscles get stronger include: keeping babies upright as long as possible after feeding, never “prop” a bottle in the babies mouth, burping babies (remember, not all babies burp in the beginning of life – these muscles also need to be strong enough to create enough force to burp).  For babies who are bottle feeding, paced feedings can help to minimize the amount of air babies get while feeding.",Feeding,,0-3 months,,,,,
Can I feed my baby anything other than breast milk or formula? ,"Newborns should only be fed with breast milk or formula until at least four to six months of age. Children have developed seizures and infections from herbal teas and remedies, lead poisoning and mercury poisoning from traditional remedies, and liver damage from dietary supplements. Talk to your doctor at the one-month visit for more questions.",Feeding,,0-3 months,Baby Food and Feeding (Healthy Children),,,,
Do I need to sterilize bottles and pacifiers after every single use?,"Ideally, yes, but that is really hard and unrealistic for many parents! Try to wash your bottles with soap and water after every feeding and sterilize them overnight. ",Feeding,,0-3 months,,,,,
How do I know if my baby has allergies?,"Look for different signs for a food allergy such as skin problems (e.g., hives, itchy skin rashes), stomach symptoms (e.g., nausea, vomiting, diarrhea), and circulation symptoms (e.g., pale skin, loss of consciousness). Allergies to formula or to something in breast milk can show up as a rash, or as blood in the stool (most common in the first 4-6 weeks). See a doctor if several parts of the body are affected.",Feeding,,0-3 months,Food Allergy Reactions (Healthy Children),,,,
How do I help reduce my baby’s gassiness and/or indigestion?,"Try to do the following:
- Burp baby well (5-10 minutes of trying), during, as well as after, each feeding
- Slow the flow of liquids from the bottle into baby’s mouth
- Try to remove unwanted gas by laying baby flat on their back and moving baby’s legs in a bicycling motion
- Give baby some tummy time
- Can also try Mylicon (simethicone) or gripewater drops, but they’re not proven to be effective
",Feeding,,0-3 months,Breaking Up Gas (Healthy Children),,,,
Is green poop normal?,"Yes! Baby’s poop is green during different stages and is dependent on whether your baby is drinking formula or breast milk. It probably isn’t an issue unless the color is white and chalky, thick and black, or red and bloody.",Feeding,Diaper,0-3 months,,,,,
"What colors, solidities, and frequency of poo are normal at different ages for my child? ","Newborns’ poop is dark green to black in the first few days, then lighter green for 1-2 days, then yellow and “seedy” for the next few weeks or months, then slowly change to green. 
A newborn's diaper is a good indicator of whether he or she is getting enough to eat. In the first few days after birth, a baby should have 2 to 3 wet diapers each day. After the first 4 to 5 days, a baby should have at least 5 to 6 wet diapers a day. Stool frequency is more variable and depends whether your baby is breast or formula fed.",Feeding,Diaper,0-3 months,The Color of Baby Poop and What it Means (Cleveland Clinic),Baby Poop FAQ (Mayo Clinic),Stool Color Guide (Hopkins Medicine),,
How do I help reduce constipation? ,"In constipation, the stools are hard and happening infrequently (less than 2 times per week).  It takes a lot for a baby to learn to stool! Some ways to help babies when they appear uncomfortable include bicycling the legs and massaging the stomach.
",Feeding,Diaper,0-3 months,Infant Constipation (Healthy Children),,,,
"Is it normal for my baby to turn red, cry, or strain while trying to poo? (aka dyschezia)","In dyschezia, newborn will look like they are having a really hard time stooling – they will turn red, cry, strain but when the stool comes out, it is soft. This is very normal and common for newborns! This should only last for about a week or two.",Feeding,Diaper,0-3 months,Infant Dyschezia (About Kids GI),,,,
What is the definition of constipation?,Constipation is associated with harder stools than normal and pain while passing stools. Infant constipation isn’t common as many newborns and young infants will have bowel movements only once or a few times per week,Feeding,Diaper,0-3 months,Infant Constipation (Healthy Children),Infant Constipation (Mayo Clinic),,,
When will my baby start sleeping through the night? ,"It will happen! But it might just take a while. Babies may not fully sleep through the night to the morning until they are a few months old. Try to have your partner help trade off, so that you can get enough sleep.",Sleep,,0-3 months,,,,,
Is it normal for my baby to switch night and day?,"This is normal for babies! Your activity during the day lulls them to sleep when you're pregnant and is awake at night when you’re resting. Keep it noisy and brighter during the day while quieter and darker at night. As baby gets older try to keep them awake with tummy time and toys during the day. It will take a few months, but baby will adjust.",Sleep,,0-3 months,,,,,
What is the safest way for my baby to sleep? And how do I practice risk reduction when feeding between sleeping?,"The only safe way for a baby to sleep is flat on its back until it is old and strong enough to turn itself over. The surface of the crib or bassinet should be firm and the sheet tight fitting. There should be no other blankets, toys or pillows in the crib when baby is sleeping.  Lastly, your newborn should sleep in the same room as parent or caregiver until at least 6 months.",Sleep,,0-3 months,,,,,
How often should my baby be napping and sleeping? And for how long?,"During the first few weeks of life, newborns should be sleeping 18-20 hours a day. From three to twelve weeks, baby should be sleeping every 90 minutes during the day.

Growth and development in newborns occurs during sleep and babies sleep a lot. Your baby will sleep 16-17 hours a day, but typically 2-4 hours at a time. Some babies sleep even more but their tummies are small and your baby will need to eat often.
",Sleep,,0-3 months,,,,,
Any tips for helping establish a sleep schedule for my baby?,"Newborn babies aren’t ready to be on a schedule for several more months but being consistent and establishing a nighttime and morning routine will help, including bathing, feeding, then putting the baby into his/her crib or bassinet awake, but sleepy. 

It’s best not to let baby get over-tired so watch for signs such as staring blankly into space, yawning stretching, turning his face away from yours are signs of sleepiness. 
",Sleep,,0-3 months,,,,,
Is co-sleeping okay? And how do I practice safe sleep if I need/want to co-sleep with my baby?,"Using a crib for baby is highly recommended for baby’s safety. If co-sleeping will be used, ensure that the surface must be firm, no blankets/pillows and baby just in a onesie. The baby should be in between the edge of the bed and the parent – never between parents and/or between the parent and the wall.",Sleep,,0-3 months,,,,,
Is it normal for babies to hold their breath and/or wheeze while sleeping?,Babies make a lot of noise while sleeping which might sound “wheezy” but your doctor would probably not describe the sound as wheezing if listening with a stethoscope.,Sleep,,0-3 months,,,,,
How do I watch out for and prevent SIDS (sudden infant death syndrome)?,Babies should sleep on their backs in their own crib or bassinet.  ,Sleep,,0-3 months,,,,,
My baby is constantly flailing when sleeping- is that normal?,"This is normal! Babies can spend up to half of their time sleeping doing motions such as flailing, twitching, jerking, making noises, etc. By six months, your child will spend more time sleeping quietly.",Sleep,,0-3 months,,,,,
Will I spoil my baby by holding him too much?,"Holding your baby can be a great way to build emotional attachment. However, try to allow your baby to fall asleep independently at night by putting your baby into the crib once they are drowsy, but still awake, so that they can learn to do it themself.",Sleep,,0-3 months,,,,,
Is it bad to wake a sleeping baby?,"No! If your baby isn’t gaining weight, you may have to wake your baby to feed them at regular intervals to make sure that they are getting enough to eat. ",Sleep,,0-3 months,,,,,
What types of products are recommended to help my baby sleep? ,"Your newborn should be put down to sleep in a crib or bassinet with a firm mattress and a tight fitting sheet. Baby should not sleep in the Dock-a-Tot or Podster unsupervised. These products can be used for lounging or supervised daytime naps as the sides give baby a sense of security, but sleeping in anything other than the crib or bassinet is not recommended by the APA (American Pediatrics Association).",Sleep,Products,0-3 months,,,,,
What is jaundice? Why do babies get jaundice? How can I help reduce my baby’s jaundice?,"Newborns produce more bilirubin than adults and when baby’s liver doesn’t remove enough of it, a yellowing of baby’s skin or whites of the eyes is called jaundice. Jaundice can appear 2-4 days after birth and while a little bit is common, too much is dangerous. A way to help prevent jaundice is with adequate feeding: breastfeed 8-10 times per day or with formula, feed baby 1-2 ounces every 2-3 hours during those first days. Indirect sunlight through a window will also help.",Skin,,0-3 months,,,,,
How can I help reduce my baby’s diaper rash? Are there any products to avoid?,"Frequent diaper changes can help avoid or reduce diaper rashes, but diaper rashes are quite common. Some people use Vaseline or Aquaphor on the diaper area to help reduce the chanbce of getting a rash. Rinse baby’s bottom with warm water and pat dry – air-drying helps get rid of diaper rash as well. An oatmeal bath may soothe symptoms and avoid using baby wipes and talcum powder. A zinc oxide paste (Desitin, Balmex, Triple Paste, and many others) may be recommended.",Skin,,0-3 months,,,,,
How can I care for my baby’s cradle cap?,Gentle scrubbing of baby’s scalp with a soft washcloth can get rid of most cradle cap. You may wash the baby’s head once a day or apply coconut oil or it will clear up on it’s own between 6 and 12 months of age. You may also get medicated shampoos that your pediatrician can recommend.,Skin,,0-3 months,,,,,
When can I start bathing my newborn? ,"You may begin bathing your baby when her umbilical stump falls off. Most doctors recommend bathing baby 1-2 times weekly in the beginning. In the meantime, keep folds in baby’s neck clean from milk and/or formula using a warm washcloth. The same goes for their head and under arms. Brush hair with an ultra soft baby hairbrush, which will also stimulate their scalp and remove any flakes or dry skin.
",Skin,,0-3 months,,,,,
What are the best practices for umbilical cord care? And when should I be worried about umbilical cord residue?,"The umbilical cord “stump” starts to dry up right after birth and gets hard and crusty.  It will usually fall off between 1 and 3 weeks after birth.  Before falling off it will often develop a discharge underneath that will frequently have a powerful odor.  This is all normal. 

Keep the area around the umbilical care cord stump clean and dry. Cleaning the area with rubbing alcohol can reduce residue and smell. Exposure to air is good and the stump will fall off in a short period of time. Use sponge baths until the stump is gone. 

If the area becomes red or painful, you should see your doctor.
",Skin,,0-3 months,,,,,
"Why do babies get rashes? Which rashes are normal? Which rashes are not?
","Just like in older children and adults, there are many kinds of rashes that babies get which can be caused by many things. Most rashes are harmless and heal on their own. If a rash seems itchy, painful, or persistent, you should message your doctor.

Milia looks like little white bumps on the nose and face and are caused by blocked oil glands. When a baby's oil glands enlarge and open up in a few days or weeks, the white bumps disappear.

Cradle cap causes crusty or oily scaly patches on a baby's scalp. The condition isn't painful or itchy. But it can cause thick white or yellow scales that aren't easy to remove. Cradle cap usually clears up on its own in weeks or a few months or you may stimulate the scalp using a soft baby hairbrush.

Diaper rash is bright red skin on baby’s diaper area and can be caused by a variety of things, mainly from skin exposure to urine or feces. Keeping bottom rinsed clean and air dried with frequent diaper changes should clear up in a few days.
",Skin,Diaper,0-3 months,,,,,
How do I help my baby when he/she cries? How much crying is okay? What can I do to cope with and/or help with colic?,"All babies cry. Sometimes crying tells us that babies need something, like holding, feeding, changing or attention. Sometimes crying can be a sign of pain. Sometimes babies cry for no particular reason that we can discover. Excessive crying can be a sign of illness or colic.  Excessive crying is something you can discuss with your doctor. 

NEVER SHAKE A BABY.  

Don’t be afraid to ask for help. If you are having difficulty with your baby’s crying, ask a friend or relative to help care for the baby, so that you can take a short break.
",Behavior,Crying,0-3 months,,,,,
At what point should I be concerned about my baby’s leg shaking?,Leg or arm shaking that occurs very frequently or with no provocation should be discussed with your doctor.,Behavior,,0-3 months,,,,,
What level of hiccupping is considered normal?,"Hiccups after feeding are very common, especially in the first 1-2 months. This is normal and a pacifier or pats on the back may lessen the duration as sucking and swallowing will help. As babies get older, hiccups become much less frequent.",Behavior,Feeding,0-3 months,,,,,
"How do I know when my baby is teething? (e.g., early teething) And any tips for soothing a teething baby?","Babies rarely have teeth before 5-9 months. Before this, drooling, putting hands in the mouth and many other symptoms are often blamed on teething, but it is often impossible to know for sure. Teething medications are not recommended; most docs recommend using a teething ring or a cloth to chew on to help relieve discomfort.",Behavior,Crying,0-3 months,,,,,
How should I evaluate and decide whether to circumcise my baby boy?,"This is a personal decision that is impacted by religion, family and culture and your own preferences. There is no right or wrong answer.",Skin,,0-3 months,,,,,
How do I care for my baby’s foreskin?,The uncircumcised foreskin does not normally need any special care.  It is recommended that foreskin retraction (pulling it back) is not important until after 2-3 years of age.,Skin,,0-3 months,,,,,
Are there concerns around any vaccinations that I should be aware about? ,Newborns get an injection of vitamin K and a Hepatitis B vaccine in the delivery room or newborn nursery.  They are both safe and important to receive at birth.,Vaccinations,Medication,0-3 months,,,,,
What do I do when I feel sad? Why does postpartum depression occur? What type of resources are available for me?,"Baby blues (also called postpartum blues) are feelings of sadness a woman may have in the first few days after having a baby. Baby blues can happen 2 to 3 days after you have your baby and can last up to 2 weeks. They usually go away on their own, and you don’t need any treatment.

Postpartum depression is a kind of depression that some women get after having a baby. It's strong feelings of sadness, anxiety (worry) and tiredness that last for a long time after giving birth. These feelings can make it hard for you to take care of yourself and your baby. Postpartum depression is a medical condition that needs treatment to get better. It’s the most common complication for women who have just had a baby. 

If you think you have postpartum depression, tell a provider and seek help.
",Mental health,Postpartum,0-3 months,,,,,
How can I promote healthy weight gain?,"Depending on how quickly your baby grows, your doctor may recommend fortifying either your breast milk or formula so that it contains more calories, protein, fats, and other nutrients per ounce.  Many babies do not need this, but instead see their pediatrician more frequently in the first few months or so to monitor their growth.  ",Feeding,,0-3 months,,,,,
"At what point should I be concerned about the shape of my baby’s head? Have any other mothers experienced their pediatrician recommending their baby to see a specialist for their baby’s head? (e.g., flat head)","“Flat head” (aka positional plagiocephaly) is fairly common in babies from 2-4 months old. It occurs when babies sleep with their head facing to one side. The side that pushes against the crib mattress normally gets a little flat. As the baby gets older, she moves her head around more at night and the head shape becomes more round. A small number of babies will have extreme flattening, or flattening due to another cause, and may need to have a “helmet” fitted for treatment of this condition. ",Growth,,0-3 months,,,,,
Is it normal for breast or vaginal discharge in the baby?,"Yes! Vaginal discharge occurs in the first few weeks in many newborn females, and breast swelling and discharge can occur in both genders. Vaginal discharge may be clear or cloudy and sticky (like Vaseline), or yellow or even green. There is normally no therapy or testing needed for most girls. Breast swelling occurs with most babies in the first weeks after discharge, and the breast tissue may grow to the size of a large grape. In babies with more swelling, clear to cloudy discharge may also occur.  Swelling and discharge resolve in the first month for most boys and may take several months to go away in girls. If this persists or worries you, talk it over with your doctor. 
",Diaper,Skin,0-3 months,,,,,
How do I know when my baby is too hot or too cold?,"You should have a thermometer which is age-appropriate for use on your baby. In the first few months, the temperature should be between 97 and 99.9.  If the temperature is too high or too low, call your doctor. If the temperature is above 100.4, take your baby to the emergency room.",Skin,,0-3 months,,,,,
Which medications are safe for my baby to have? And how do I think about dosing?,"In the first few months, most people have diaper rash creams and fever medicine (such as acetaminophen) on hand, but you should talk to your doctor before using any medication in a baby under 2 months old.",Medication,,0-3 months,,,,,
How can I tell if my baby’s length and/or weight are normal?,"This is what checkups are all about – making sure your baby is growing well!  Growth is influenced by birth weight, family member size, nutrition and medical conditions.  If you or your doctor are concerned about your baby’s growth, you should talk about this.
",Growth,,0-3 months,,,,,
How many layers of clothing does my infant need to go outside?,"As a rule of thumb, dress your baby in one more layer than you do! ",Clothing,,0-3 months,,,,,
How do I help my other child(ren) adjust to being older sibling(s)?,"Teach older children how to be around newborns. Demonstrate how to act around baby by your actions. Teach them soft touches and how to give baby a massage for example. Be careful with your words and provide alternate reasons rather than using “no!” Stay close and monitor interactions and be sure to give siblings a lot of praise. Be supportive, you may involve the older child in tasks and give siblings special time with you, provide extra love and support, as this is a big adjustment.",Behavior,Siblings,0-3 months,,,,,
